model_name,attack_type,epsilon,clean_rmse,adv_rmse,delta_rmse,robustness,training_type
Multi-Head,a1,0.5,0.016502697818575746,0.017659550149394118,0.0011568523308183726,0.9298991992984202,standard
Multi-Head,a1,1.0,0.016502697818575746,0.022270225766156053,0.005767527947580307,0.6505099947301787,standard
Multi-Head,a2,0.25,0.016502697818575746,0.016594826058425622,9.212823984987642e-05,0.9944173830931949,standard
Multi-Head,a2,0.5,0.016502697818575746,0.016576309121516357,7.36113029406113e-05,0.9955394382330777,standard
Multi-Head,a2,1.0,0.016502697818575746,0.016790780536614702,0.0002880827180389567,0.9825432955746978,standard
Multi-Head,a3,0.25,0.016502697818575746,0.016698728439389042,0.00019603062081329642,0.988121298531405,standard
Multi-Head,a3,0.5,0.016502697818575746,0.017743144479338863,0.001240446660763117,0.9248337045009182,standard
Multi-Head,a3,1.0,0.016502697818575746,0.022369725954886167,0.005867028136310421,0.6444806660819793,standard
Multi-Head,a4,0.25,0.016502697818575746,0.016680066474687234,0.00017736865611148872,0.9892521417975769,standard
Multi-Head,a4,0.5,0.016502697818575746,0.01716014709054743,0.0006574492719716857,0.9601611034026419,standard
Multi-Head,a4,1.0,0.016502697818575746,0.02018054378606556,0.003677845967489813,0.7771366834730524,standard
Multi-Head Diversity,a1,0.25,0.016395674465969994,0.016721658890415696,0.0003259844244457022,0.9801176569391946,standard
Multi-Head Diversity,a1,0.5,0.016395674465969994,0.017573814572832636,0.0011781401068626414,0.9281432362353907,standard
Multi-Head Diversity,a1,1.0,0.016395674465969994,0.02327580682232418,0.006880132356354186,0.5803690558363896,standard
Multi-Head Diversity,a2,0.25,0.016395674465969994,0.01649432331236261,9.864884639261551e-05,0.9939832395064097,standard
Multi-Head Diversity,a2,0.5,0.016395674465969994,0.01650810329175812,0.0001124288257881266,0.9931427751861335,standard
Multi-Head Diversity,a2,1.0,0.016395674465969994,0.016653128953977792,0.0002574544880077981,0.9842974140196454,standard
Multi-Head Diversity,a3,0.25,0.016395674465969994,0.016763231970053145,0.0003675575040831512,0.9775820442857637,standard
Multi-Head Diversity,a3,0.5,0.016395674465969994,0.01768814843913632,0.0012924739731663241,0.9211698197686886,standard
Multi-Head Diversity,a3,1.0,0.016395674465969994,0.02321684715085378,0.0068211726848837854,0.5839651062210673,standard
Multi-Head Diversity,a4,0.25,0.016395674465969994,0.016548685437270522,0.00015301097130052815,0.990667601286052,standard
Multi-Head Diversity,a4,0.5,0.016395674465969994,0.017397335922789567,0.0010016614568195727,0.9389069684874161,standard
Multi-Head Diversity,a4,1.0,0.016395674465969994,0.020571342765579113,0.004175668299609119,0.7453189066252859,standard
