model_name,attack_type,epsilon,clean_rmse,adv_rmse,delta_rmse,robustness,training_type
OLS,a1,0.25,0.01751977953049148,0.018410851781008247,0.0008910722505167668,0.9491390717008772,standard
OLS,a1,0.5,0.01751977953049148,0.020570682872328393,0.0030509033418369136,0.8258594900394087,standard
OLS,a1,1.0,0.01751977953049148,0.02805821667238579,0.01053843714189431,0.39848346130422585,standard
OLS,a2,0.25,0.01751977953049148,0.0178578655079799,0.00033808597748841845,0.9807026123302515,standard
OLS,a2,0.5,0.01751977953049148,0.0178070936391411,0.00028731410864962087,0.9836005865171089,standard
OLS,a2,1.0,0.01751977953049148,0.018251644597482946,0.0007318650669914661,0.9582263540635471,standard
OLS,a3,0.25,0.01751977953049148,0.018314343693189475,0.000794564162697995,0.9546475935205044,standard
OLS,a3,0.5,0.01751977953049148,0.020569531829332893,0.0030497522988414127,0.8259251896672778,standard
OLS,a3,1.0,0.01751977953049148,0.028234593300286354,0.010714813769794874,0.38841617549200447,standard
OLS,a4,0.25,0.01751977953049148,0.017998291772026116,0.0004785122415346364,0.9726873137471945,standard
OLS,a4,0.5,0.01751977953049148,0.019495233434161038,0.001975453903669558,0.887244362851058,standard
OLS,a4,1.0,0.01751977953049148,0.024297546749206218,0.006777767218714738,0.6131362722391175,standard
Ridge,a1,0.25,0.017519145771823175,0.01827380666887232,0.000754660897049144,0.9569236475979954,standard
Ridge,a1,0.5,0.017519145771823175,0.019878266508227233,0.0023591207364040585,0.8653404242917861,standard
Ridge,a1,1.0,0.017519145771823175,0.025875288005859965,0.00835614223403679,0.5230279864742979,standard
Ridge,a2,0.25,0.017519145771823175,0.017823703653413257,0.0003045578815900826,0.9826157116587318,standard
Ridge,a2,0.5,0.017519145771823175,0.017746668763817787,0.0002275229919946123,0.9870128946377883,standard
Ridge,a2,1.0,0.017519145771823175,0.018023484029219307,0.0005043382573961322,0.9712121661658137,standard
Ridge,a3,0.25,0.017519145771823175,0.018204774166521276,0.0006856283946981012,0.960864051042898,standard
Ridge,a3,0.5,0.017519145771823175,0.019946608192133137,0.002427462420309962,0.8614394530460407,standard
Ridge,a3,1.0,0.017519145771823175,0.02596471462861591,0.008445568856792735,0.5179234783024569,standard
Ridge,a4,0.25,0.017519145771823175,0.01792335666536868,0.000404210893545507,0.9769274770122858,standard
Ridge,a4,0.5,0.017519145771823175,0.018962098258574932,0.0014429524867517578,0.9176356823816991,standard
Ridge,a4,1.0,0.017519145771823175,0.02297573409548733,0.005456588323664156,0.6885357086051404,standard
XGBoost,a1,0.25,0.01659127575873802,0.0170773613087457,0.000486085550007679,0.9707023403699576,standard
XGBoost,a1,0.5,0.01659127575873802,0.018522453800699595,0.0019311780419615752,0.8836028000472179,standard
XGBoost,a1,1.0,0.01659127575873802,0.023436668998568784,0.006845393239830765,0.5874100738621293,standard
XGBoost,a2,0.25,0.01659127575873802,0.01676788027684379,0.00017660451810577044,0.989355579361475,standard
XGBoost,a2,0.5,0.01659127575873802,0.01677938698062233,0.00018811122188431076,0.9886620399407658,standard
XGBoost,a2,1.0,0.01659127575873802,0.01686242530383586,0.00027114954509784017,0.9836571009342042,standard
XGBoost,a3,0.25,0.01659127575873802,0.01700599960447651,0.0004147238457384919,0.9750034987200986,standard
XGBoost,a3,0.5,0.01659127575873802,0.018632505757567325,0.002041229998829306,0.8769696780095849,standard
XGBoost,a3,1.0,0.01659127575873802,0.02311881212593884,0.006527536367200822,0.6065681468911149,standard
XGBoost,a4,0.25,0.01659127575873802,0.01703777076107906,0.00044649500234104217,0.9730885672184739,standard
